Column1,id_sampl,Survey,strata_id,psu,nr_hhs,locality_code,gov_code,gov_name,gov_area,enum_area,oslo_area,Oslo_Area2,Strata,locality.name,West.Bank.or.Gaza.Strip,psu_id,pop_numbers,SumDist,proba,survey_buffer,Column2
56,id_2139,24,Qalqilya_C,9.93269920393414e-314,88,201040,20,Qalqilya,Qalqilya_C,70,3,_C,Qalqilya_C,????????????,West Bank,9.93269920393414e-314,88,2593,0.033937524,24,27.27272727
57,id_2141,32,Qalqilya_C,9.9326992533407e-314,99,201040,20,Qalqilya,Qalqilya_C,71,3,_C,Qalqilya_C,????????????,West Bank,9.9326992533407e-314,99,2593,0.038179715,32,32.32323232
58,id_2159,8,Qalqilya_C,9.93269994503261e-314,15,201040,20,Qalqilya,Qalqilya_C,85,3,_C,Qalqilya_C,????????????,West Bank,9.93269994503261e-314,15,2593,0.005784805,8,53.33333333
60,id_2177,16,Qalqilya_C,9.93491923850716e-314,82,201085,20,Qalqilya,Qalqilya_C,4,3,_C,Qalqilya_C,???????????,West Bank,9.93491923850716e-314,82,2593,0.031623602,16,19.51219512
61,id_2192,8,Qalqilya_C,9.93566058400875e-314,62,201100,20,Qalqilya,Qalqilya_C,9,3,_C,Qalqilya_C,???????,West Bank,9.93566058400875e-314,62,2593,0.023910528,8,12.90322581
62,id_2194,8,Qalqilya_C,9.93566063341531e-314,51,201100,20,Qalqilya,Qalqilya_C,10,3,_C,Qalqilya_C,???????,West Bank,9.93566063341531e-314,51,2593,0.019668338,8,15.68627451
63,id_2201,8,Qalqilya_C,9.93640128722499e-314,17,201115,20,Qalqilya,Qalqilya_C,1,3,_C,Qalqilya_C,???????,West Bank,9.93640128722499e-314,17,2593,0.006556113,8,47.05882353
64,id_2205,8,Qalqilya_C,9.93664832004791e-314,32,201120,20,Qalqilya,Qalqilya_C,1,3,_C,Qalqilya_C,???? ???????,West Bank,9.93664832004791e-314,32,2593,0.012340918,8,25
65,id_2215,8,Qalqilya_C,9.93689564931022e-314,12,201125,20,Qalqilya,Qalqilya_C,7,3,_C,Qalqilya_C,???????,West Bank,9.93689564931022e-314,12,2593,0.004627844,8,66.66666667
66,id_2231,8,Qalqilya_C,9.93911864827712e-314,84,201170,20,Qalqilya,Qalqilya_C,1,3,_C,Qalqilya_C,?????????,West Bank,9.93911864827712e-314,84,2593,0.032394909,8,9.523809524
67,id_2258,8,Qalqilya_C,9.94356528849625e-314,19,201260,20,Qalqilya,Qalqilya_C,2,3,_C,Qalqilya_C,??????????,West Bank,9.94356528849625e-314,19,2593,0.00732742,8,42.10526316
68,id_2266,8,Qalqilya_C,9.94455337038137e-314,24,201280,20,Qalqilya,Qalqilya_C,1,3,_C,Qalqilya_C,??????? ???????,West Bank,9.94455337038137e-314,24,2593,0.009255688,8,33.33333333
69,id_2270,8,Qalqilya_C,9.9445534691945e-314,68,201280,20,Qalqilya,Qalqilya_C,3,3,_C,Qalqilya_C,??????? ???????,West Bank,9.9445534691945e-314,68,2593,0.02622445,8,11.76470588
88,id_2511,16,Ramallah_C,1.48960793224089e-313,27,301500,30,Ramallah,Ramallah_C,2,3,_C,Ramallah_C,???????,West Bank,1.48960793224089e-313,27,5431,0.00497146,16,59.25925926
89,id_2584,8,Ramallah_C,1.48990436668774e-313,75,301560,30,Ramallah,Ramallah_C,1,3,_C,Ramallah_C,???? ??????,West Bank,1.48990436668774e-313,75,5431,0.013809611,8,10.66666667
90,id_2611,8,Ramallah_C,1.49007728966378e-313,19,301595,30,Ramallah,Ramallah_C,1,3,_C,Ramallah_C,???????,West Bank,1.49007728966378e-313,19,5431,0.003498435,8,42.10526316
91,id_2618,8,Ramallah_C,1.49007730942641e-313,51,301595,30,Ramallah,Ramallah_C,5,3,_C,Ramallah_C,???????,West Bank,1.49007730942641e-313,51,5431,0.009390536,8,15.68627451
92,id_2641,8,Ramallah_C,1.49012671105034e-313,34,301605,30,Ramallah,Ramallah_C,4,3,_C,Ramallah_C,???????,West Bank,1.49012671105034e-313,34,5431,0.006260357,8,23.52941176
93,id_2674,16,Ramallah_C,1.4902008110159e-313,97,301620,30,Ramallah,Ramallah_C,2,3,_C,Ramallah_C,??????????,West Bank,1.4902008110159e-313,97,5431,0.017860431,16,16.49484536
94,id_2751,8,Ramallah_C,1.49049726522537e-313,113,301680,30,Ramallah,Ramallah_C,5,3,_C,Ramallah_C,????? ???????,West Bank,1.49049726522537e-313,113,5431,0.020806481,8,7.079646018
95,id_2782,8,Ramallah_C,1.49059611293914e-313,77,301700,30,Ramallah,Ramallah_C,12,3,_C,Ramallah_C,????????? ??????????,West Bank,1.49059611293914e-313,77,5431,0.014177868,8,10.38961039
96,id_2808,8,Ramallah_C,1.49067020302339e-313,29,301715,30,Ramallah,Ramallah_C,8,3,_C,Ramallah_C,????????,West Bank,1.49067020302339e-313,29,5431,0.005339716,8,27.5862069
97,id_2829,16,Ramallah_C,1.49071958982535e-313,42,301725,30,Ramallah,Ramallah_C,4,3,_C,Ramallah_C,???????? ????? ??????,West Bank,1.49071958982535e-313,42,5431,0.007733382,16,38.0952381
98,id_2848,8,Ramallah_C,1.4908183930732e-313,125,301745,30,Ramallah,Ramallah_C,2,3,_C,Ramallah_C,?????????,West Bank,1.4908183930732e-313,125,5431,0.023016019,8,6.4
99,id_2929,16,Ramallah_C,1.49104080166433e-313,75,301790,30,Ramallah,Ramallah_C,18,3,_C,Ramallah_C,????????,West Bank,1.49104080166433e-313,75,5431,0.013809611,16,21.33333333
100,id_2945,8,Ramallah_C,1.49104086589287e-313,27,301790,30,Ramallah,Ramallah_C,31,3,_C,Ramallah_C,????????,West Bank,1.49104086589287e-313,27,5431,0.00497146,8,29.62962963
101,id_2955,8,Ramallah_C,1.49104091035878e-313,71,301790,30,Ramallah,Ramallah_C,40,3,_C,Ramallah_C,????????,West Bank,1.49104091035878e-313,71,5431,0.013073099,8,11.26760563
103,id_3027,16,Ramallah_C,1.49104121173882e-313,100,301790,30,Ramallah,Ramallah_C,101,3,_C,Ramallah_C,????????,West Bank,1.49104121173882e-313,100,5431,0.018412815,16,16
104,id_3035,8,Ramallah_C,1.4910412364421e-313,115,301790,30,Ramallah,Ramallah_C,106,3,_C,Ramallah_C,????????,West Bank,1.4910412364421e-313,115,5431,0.021174738,8,6.956521739
105,id_3056,8,Ramallah_C,1.49111484234202e-313,40,301805,30,Ramallah,Ramallah_C,4,3,_C,Ramallah_C,??????,West Bank,1.49111484234202e-313,40,5431,0.007365126,8,20
109,id_3273,8,Ramallah_C,1.4913371768233e-313,16,301850,30,Ramallah,Ramallah_C,5,3,_C,Ramallah_C,???? ??????,West Bank,1.4913371768233e-313,16,5431,0.00294605,8,50
110,id_3303,8,Ramallah_C,1.49155950636393e-313,29,301895,30,Ramallah,Ramallah_C,5,3,_C,Ramallah_C,???? ??????,West Bank,1.49155950636393e-313,29,5431,0.005339716,8,27.5862069
111,id_3305,8,Ramallah_C,1.49155951130459e-313,72,301895,30,Ramallah,Ramallah_C,6,3,_C,Ramallah_C,???? ??????,West Bank,1.49155951130459e-313,72,5431,0.013257227,8,11.11111111
112,id_3323,8,Ramallah_C,1.49155956071115e-313,35,301895,30,Ramallah,Ramallah_C,16,3,_C,Ramallah_C,???? ??????,West Bank,1.49155956071115e-313,35,5431,0.006444485,8,22.85714286
70,id_2287,8,Salfit_C,1.24146348137975e-313,49,251275,25,Salfit,Salfit_C,6,3,_C,Salfit_C,??????? ???? ???????,West Bank,1.24146348137975e-313,49,1872,0.026175214,8,16.32653061
71,id_2291,8,Salfit_C,1.24146349126106e-313,66,251275,25,Salfit,Salfit_C,8,3,_C,Salfit_C,??????? ???? ???????,West Bank,1.24146349126106e-313,66,1872,0.03525641,8,12.12121212
72,id_2296,16,Salfit_C,1.24156227474629e-313,32,251295,25,Salfit,Salfit_C,2,3,_C,Salfit_C,?????? ??????,West Bank,1.24156227474629e-313,32,1872,0.017094017,16,50
73,id_2319,24,Salfit_C,1.24161171095482e-313,49,251305,25,Salfit,Salfit_C,8,3,_C,Salfit_C,???????,West Bank,1.24161171095482e-313,49,1872,0.026175214,24,48.97959184
74,id_2321,8,Salfit_C,1.24161171589547e-313,21,251305,25,Salfit,Salfit_C,9,3,_C,Salfit_C,???????,West Bank,1.24161171589547e-313,21,1872,0.011217949,8,38.0952381
75,id_2325,16,Salfit_C,1.24161172577679e-313,29,251305,25,Salfit,Salfit_C,11,3,_C,Salfit_C,???????,West Bank,1.24161172577679e-313,29,1872,0.015491453,16,55.17241379
76,id_2333,24,Salfit_C,1.24161174553941e-313,74,251305,25,Salfit,Salfit_C,15,3,_C,Salfit_C,???????,West Bank,1.24161174553941e-313,74,1872,0.039529915,24,32.43243243
77,id_2337,16,Salfit_C,1.24163638459317e-313,19,251310,25,Salfit,Salfit_C,2,3,_C,Salfit_C,??????,West Bank,1.24163638459317e-313,19,1872,0.010149573,16,84.21052632
78,id_2339,8,Salfit_C,1.24163638953383e-313,25,251310,25,Salfit,Salfit_C,3,3,_C,Salfit_C,??????,West Bank,1.24163638953383e-313,25,1872,0.013354701,8,32
79,id_2341,16,Salfit_C,1.24163639447448e-313,46,251310,25,Salfit,Salfit_C,4,3,_C,Salfit_C,??????,West Bank,1.24163639447448e-313,46,1872,0.02457265,16,34.7826087
80,id_2348,8,Salfit_C,1.24166109281612e-313,43,251315,25,Salfit,Salfit_C,3,3,_C,Salfit_C,???????,West Bank,1.24166109281612e-313,43,1872,0.022970085,8,18.60465116
81,id_2354,8,Salfit_C,1.24168579609841e-313,10,251320,25,Salfit,Salfit_C,3,3,_C,Salfit_C,???????,West Bank,1.24168579609841e-313,10,1872,0.00534188,8,80
82,id_2363,8,Salfit_C,1.24178460428692e-313,14,251340,25,Salfit,Salfit_C,2,3,_C,Salfit_C,??????,West Bank,1.24178460428692e-313,14,1872,0.007478632,8,57.14285714
83,id_2382,24,Salfit_C,1.24188344706003e-313,38,251360,25,Salfit,Salfit_C,8,3,_C,Salfit_C,??????????,West Bank,1.24188344706003e-313,38,1872,0.020299145,24,63.15789474
84,id_2384,8,Salfit_C,1.24188345200069e-313,38,251360,25,Salfit,Salfit_C,9,3,_C,Salfit_C,??????????,West Bank,1.24188345200069e-313,38,1872,0.020299145,8,21.05263158
